id,title_cn,title_jp,title_en,region,type,rating,points_count,center_lat,center_lng,cover_url,bgm_id
543360,上伊那牡丹，酒醉身姿似百合花般,上伊那ぼたん、酔へる姿は百合の花,,秩父市,TV,7.2,230,0,0,https://w.junreimap.com/images/bangumi/543360_fej9y4l.jpg,
279406,成为百合的Espoir,ゆりでなる♥えすぽわーる,,札幌市,漫画系列,7.5,17,43.069092,141.350152,https://w.junreimap.com/images/bangumi/279406.jpg,1623
257720,要我和你交往也不是不行,付き合ってあげてもいいかな,,日本,漫画系列,7.8,11,0,0,https://w.junreimap.com/images/bangumi/257720.jpg,
285054,污秽不堪的你最惹人怜爱,きたない君がいちばんかわいい,,青森県,漫画系列,6.9,18,0,0,https://w.junreimap.com/images/bangumi/285054.jpg,
144357,文豪野犬,文豪ストレイドッグス,,横滨市,TV,6.6,25,35.449728,139.64535,https://w.junreimap.com/images/bangumi/144357.jpg,828
428735,迷途之子！！！！！,BanG Dream! It's MyGO!!!!!,BanG Dream! It's MyGO!!!!!,豊島区,TV,7.9,467,35.730117,139.716309,https://w.junreimap.com/images/bangumi/428735.jpg,410
143128,爱上火车,まいてつ,,人吉市,游戏,0,39,32.211574,130.786577,https://w.junreimap.com/images/bangumi/143128_o7b04qd2c.jpg,1455
293800,TrymenT ~献给渴望改变的你~,TrymenT ~今を変えたいと願うあなたへ~,,东京都,游戏,7.1,29,33.104269,139.815747,https://w.junreimap.com/images/bangumi/293800.jpg,180715
49278,境界的彼方,境界の彼方,,奈良市,TV,6.8,102,34.685109,135.804801,https://w.junreimap.com/images/bangumi/49278.jpg,
243981,终将成为你,やがて君になる,,品川区,TV,7.8,130,35.627095,139.737731,https://w.junreimap.com/images/bangumi/243981.jpg,1156
218127,思慕雪的热带鱼,熱帯魚は雪に焦がれる,,大洲市,漫画系列,7.1,7,0,0,https://w.junreimap.com/images/bangumi/218127.jpg,
9912,日常,日常,,伊势崎市,TV,8.4,48,36.336009,139.190941,https://w.junreimap.com/images/bangumi/9912.jpg,77809
11536,,GIRL FRIENDS,,東京都,漫画系列,7.7,51,35.691189,139.736969,https://w.junreimap.com/images/bangumi/11536.jpg,101
622206,尼古喵喵,ヤニねこ,Yanineko,相模原市,TV,6.9,3,0,0,https://w.junreimap.com/images/bangumi/622206.jpg,
285472,即使只有一次也会后悔,一度だけでも、後悔してます。,,名古屋市,漫画系列,7,10,35.585042,139.669025,https://w.junreimap.com/images/bangumi/285472.jpg,1414
296659,LoveLive! 虹咲学园校园偶像同好会,ラブライブ！虹ヶ咲学園スクールアイドル同好会,LoveLive! School Idol Project -Nijigasaki High School Idol Club-,东京都,TV,7.6,247,35.632174,139.784163,https://w.junreimap.com/images/bangumi/296659.jpg,1342
114685,可塑性记忆,プラスティック・メモリーズ,,海外,TV,6.9,17,1.29702,103.831983,https://w.junreimap.com/images/bangumi/114685.jpg,3999
57978,黄金拼图,きんいろモザイク,Kin-iro Mosaic,千叶市,TV,7.3,362,35.695019,140.128885,https://w.junreimap.com/images/bangumi/57978.jpg,13839
545917,描绘直至生命尽头,これ描いて死ね,,大島町,TV,0,175,34.688054,139.438665,https://w.junreimap.com/images/bangumi/545917.jpg,69154
269235,天气之子,天気の子,Weathering With You,東京都,剧场版,7.1,40,35.707358,139.733394,https://w.junreimap.com/images/bangumi/269235.jpg,1920
234,,AIR,AIR,御坊市,TV,8,43,33.938137,135.260927,https://w.junreimap.com/images/bangumi/234.jpg,22576
876,,CLANNAD 〜AFTER STORY〜,,日本,TV,9.1,283,38.153818,138.622224,https://w.junreimap.com/images/bangumi/876.jpg,
140536,2DK、G笔、闹钟。,2DK、Gペン、目覚まし時計。,,北区,漫画系列,7.2,10,35.73839,139.760693,https://w.junreimap.com/images/bangumi/140536.jpg,1896
292901,无法拒绝孤单女孩,ロンリーガールに逆らえない,,北海道,漫画系列,6.8,15,43.199887,141.001372,https://w.junreimap.com/images/bangumi/292901.jpg,279
607340,与奔驰于透明之夜的你，谈一场看不见的恋爱。,透明な夜に駆ける君と、目に見えない恋をした。,"Toumei na Yoru ni Kakeru Kimi to, Me ni Mienai Koi wo Shita.",江東区,TV,6.8,11,0,0,https://w.junreimap.com/images/bangumi/607340.jpg,
